country,card_url,general,country_link,city,PM2.5,date,hour
Brazil,https://openaq.org/#/location/Osasco,,,,,,
Brazil,https://openaq.org/#/location/Piracicaba,,,,,,
Brazil,https://openaq.org/#/location/Santos-Ponta%20da%20Praia,,,,,,
Brazil,https://openaq.org/#/location/S.Bernardo-Centro,,,,,,
Brazil,https://openaq.org/#/location/S%C3%A3o%20Jos%C3%A9%20Do%20Rio%20Preto,,,,,,
Brazil,https://openaq.org/#/location/Grajau-Parelheiros,BETN063,"wallon,",Brabant,,,
Brazil,https://openaq.org/#/location/Pico%20do%20Jaragu%C3%A1,Lukavac,Bosnia,"Lukavac,",,,
Brazil,https://openaq.org/#/location/Ribeir%C3%A3o%20Preto-Centro,BKC,Bosnia,"Tuzla,",,,
Brazil,https://openaq.org/#/location/S.Jos%C3%A9%20dos%20Campos-Jd.Sat%C3%A9lite,,,,,,
Brazil,https://openaq.org/#/location/Cid.Universit%C3%A1ria-USP-Ipen,Živinice,Bosnia,"Živinice,",,,
Brazil,https://openaq.org/#/location/Congonhas,,,,,,
Brazil,https://openaq.org/#/location/Ibirapuera,,,,,,
Bulgaria,https://openaq.org/#/location/Dhaka,,,,,,
Bulgaria,https://openaq.org/#/location/BG0075A,,,,,,
Bulgaria,https://openaq.org/#/location/BG0045A,,,,,,
Canada,https://openaq.org/#/location/Athabasca%20Valley,,,,,,
Canada,https://openaq.org/#/location/Beaverlodge,,,,,,
Canada,https://openaq.org/#/location/Bruderheim,,,,,,
Canada,https://openaq.org/#/location/Calgary%20Central2,,,,,,
Canada,https://openaq.org/#/location/Calgary%20Northwest,,,,,,
Canada,https://openaq.org/#/location/Caroline,,,,,,
Canada,https://openaq.org/#/location/Cold%20Lake%20South,,,,,,
Canada,https://openaq.org/#/location/Edmonton%20Central,Guarulhos-Paço Municipal,Brazil,"Guarulhos,",,,
Canada,https://openaq.org/#/location/Edmonton%20East,,,,,,
Canada,https://openaq.org/#/location/Edmonton%20South,,,,,,
Canada,https://openaq.org/#/location/Edmonton%20Woodcroft,,,,,,
